ID,Parameter_ID,Name,Description
LegAndFoot-None,LegAndFoot,missing data,
LegAndFoot-True,LegAndFoot,colexifies FOOT and LEG,
LegAndFoot-False,LegAndFoot,does not colexify FOOT and LEG,
ArmAndHand-None,ArmAndHand,missing data,
ArmAndHand-True,ArmAndHand,colexifies ARM and HAND,
ArmAndHand-False,ArmAndHand,does not colexify ARM and HAND,
BarkAndSkin-None,BarkAndSkin,missing data,
BarkAndSkin-True,BarkAndSkin,colexifies BARK and SKIN,
BarkAndSkin-False,BarkAndSkin,does not colexify BARK and SKIN,
FingerAndHand-None,FingerAndHand,missing data,
FingerAndHand-True,FingerAndHand,colexifies finger and hand,
FingerAndHand-False,FingerAndHand,does not colexify finger and hand,
GreenAndBlue-None,GreenAndBlue,missing data,
GreenAndBlue-True,GreenAndBlue,colexifies GREEN and BLUE,
GreenAndBlue-False,GreenAndBlue,does not colexify GREEN and BLUE,
RedAndYellow-None,RedAndYellow,missing data,
RedAndYellow-True,RedAndYellow,colexifies RED and YELLOW,
RedAndYellow-False,RedAndYellow,does not colexify RED and YELLOW,
ToeAndFoot-None,ToeAndFoot,missing data,
ToeAndFoot-True,ToeAndFoot,colexifies FOOT and TOE,
ToeAndFoot-False,ToeAndFoot,does not colexify FOOT and TOE,
SeeAndKnow-None,SeeAndKnow,missing data,
SeeAndKnow-True,SeeAndKnow,colexifies SEE and KNOW,
SeeAndKnow-False,SeeAndKnow,does not colexify SEE and KNOW,
SeeAndUnderstand-None,SeeAndUnderstand,missing data,
SeeAndUnderstand-True,SeeAndUnderstand,colexifies SEE and UNDERSTAND,
SeeAndUnderstand-False,SeeAndUnderstand,does not colexify SEE and UNDERSTAND,
ElbowAndKnee-None,ElbowAndKnee,missing data,
ElbowAndKnee-True,ElbowAndKnee,colexifies ELBOW and KNEE,
ElbowAndKnee-False,ElbowAndKnee,does not colexify ELBOW and KNEE,
FearAndSurprise-None,FearAndSurprise,missing data,
FearAndSurprise-True,FearAndSurprise,colexifies FEAR and SURPRISE,
FearAndSurprise-False,FearAndSurprise,does not colexify FEAR and SURPRISE,
CommonSubstringInElbowAndKnee-None,CommonSubstringInElbowAndKnee,missing data,
CommonSubstringInElbowAndKnee-True,CommonSubstringInElbowAndKnee,common substring in ELBOW and KNEE,
CommonSubstringInElbowAndKnee-False,CommonSubstringInElbowAndKnee,no common substring in ELBOW and KNEE,
CommonSubstringInManAndWoman-None,CommonSubstringInManAndWoman,missing data,
CommonSubstringInManAndWoman-True,CommonSubstringInManAndWoman,common substring in MAN and WOMAN,
CommonSubstringInManAndWoman-False,CommonSubstringInManAndWoman,no common substring in MAN and WOMAN,
CommonSubstringInFearAndSurprise-None,CommonSubstringInFearAndSurprise,missing data,
CommonSubstringInFearAndSurprise-True,CommonSubstringInFearAndSurprise,common substring in FEAR and SURPRISE,
CommonSubstringInFearAndSurprise-False,CommonSubstringInFearAndSurprise,no common substring in FEAR and SURPRISE,
CommonSubstringInBoyAndGirl-None,CommonSubstringInBoyAndGirl,missing data,
