ID,Parameter_ID,Name,Description
CommonSubstringInBoyAndGirl-True,CommonSubstringInBoyAndGirl,common substring in BOY and GIRL,
CommonSubstringInBoyAndGirl-False,CommonSubstringInBoyAndGirl,no common substring in BOY and GIRL,
EyeInTear-None,EyeInTear,missing data,
EyeInTear-True,EyeInTear,EYE partially colexified in TEAR,
EyeInTear-False,EyeInTear,EYE not partially colexified in TEAR,
BowInElbow-None,BowInElbow,missing data,
BowInElbow-True,BowInElbow,BOW partially colexified in ELBOW,
BowInElbow-False,BowInElbow,BOW not partially colexified in ELBOW,
CornerInElbow-None,CornerInElbow,missing data,
CornerInElbow-True,CornerInElbow,CORNER partially colexified in ELBOW,
CornerInElbow-False,CornerInElbow,CORNER not partially colexified in ELBOW,
WaterInTear-None,WaterInTear,missing data,
WaterInTear-True,WaterInTear,WATER partially colexified in TEAR,
WaterInTear-False,WaterInTear,WATER not partially colexified in TEAR,
TreeInBark-None,TreeInBark,missing data,
TreeInBark-True,TreeInBark,TREE partially colexified in BARK,
TreeInBark-False,TreeInBark,TREE not partially colexified in BARK,
SkinInBark-None,SkinInBark,missing data,
SkinInBark-True,SkinInBark,SKIN partially colexified in BARK,
SkinInBark-False,SkinInBark,SKIN not partially colexified in BARK,
MouthInLip-None,MouthInLip,missing data,
MouthInLip-True,MouthInLip,MOUTH partially colexified in LIP,
MouthInLip-False,MouthInLip,MOUTH not partially colexified in LIP,
SkinInLip-None,SkinInLip,missing data,
SkinInLip-True,SkinInLip,SKIN partially colexified in LIP,
SkinInLip-False,SkinInLip,SKIN not partially colexified in LIP,
HandInFinger-None,HandInFinger,missing data,
HandInFinger-True,HandInFinger,HAND partially colexified in FINGER,
HandInFinger-False,HandInFinger,HAND not partially colexified in FINGER,
FootInToe-None,FootInToe,missing data,
FootInToe-True,FootInToe,FOOT partially colexified in TOE,
FootInToe-False,FootInToe,FOOT not partially colexified in TOE,
ThreeInEight-None,ThreeInEight,missing data,
ThreeInEight-True,ThreeInEight,THREE partially colexified in EIGHT,
ThreeInEight-False,ThreeInEight,THREE not partially colexified in EIGHT,
ThreeInThirteen-None,ThreeInThirteen,missing data,
ThreeInThirteen-True,ThreeInThirteen,THREE partially colexified in THIRTEEN,
ThreeInThirteen-False,ThreeInThirteen,THREE not partially colexified in THIRTEEN,
FingerAndToe-None,FingerAndToe,missing data,
FingerAndToe-True,FingerAndToe,colexifies FINGER and TOE,
FingerAndToe-False,FingerAndToe,does not colexify FINGER and TOE,
HairAndFeather-None,HairAndFeather,missing data,
HairAndFeather-True,HairAndFeather,"colexifies HAIR and FEATHER, FUR",
HairAndFeather-False,HairAndFeather,"does not colexify HAIR and FEATHER, FUR",
HearAndSmell-None,HearAndSmell,missing data,
HearAndSmell-True,HearAndSmell,colexifies HEAR and SMELL,
HearAndSmell-False,HearAndSmell,does not colexify HEAR and SMELL,
