ID,Name,Description,Varieties,Glottocodes,Concepts,Forms
LexiCore,wordlists with phonetic transcriptions and at least 80 concepts),Wordlists with phonetic transcriptions in which sound segments can be readily described by the CLTS system and in which at least 80 concepts can be linked to Concepticon.,5501,3120,3209,1853003
ClicsCore,large wordlists with at least 180 concepts,Wordlists with large form inventories in which at least 180 concepts can be linked to the Concepticon,3253,2076,3177,1544835
CogCore,wordlists with phonetic transcriptions and cognate sets,Wordlists with phonetic transcriptions in which cognate sets have been annotated (a subset of LexiCore),2481,1797,1980,466317
ProtoCore,"wordlists with phonetic transcriptions, cognate sets, and proto-languages",Wordlists with phonetic transcriptions in which cognate sets have been annotated and which contain one or more ancestral languages whose forms are proto-forms from which forms in the descendant languages can be derived (a subset of CogCore),47,41,1137,13150
Lexibank,all wordlists in the Lexibank collection,Metacollection of wordlists belonging to either of the datasets,5501,3120,3209,1853003
Selexion,selected wordlists in Lexibank,"Selection of one language per Glottocode, ranked by number of unique concepts mapped to Concepticon",3120,3120,3193,1244908
