ID,Name,Description,ColumnSpec,cltsReference
advanced_nasalized_unrounded_close_front_vowel,ĩ̟,advanced nasalized unrounded close front vowel,,advanced_nasalized_unrounded_close_front_vowel
advanced_unrounded_close-mid_back_vowel,ɤ̟,advanced unrounded close-mid back vowel,,advanced_unrounded_close-mid_back_vowel
advanced_unrounded_close-mid_central_vowel,ɘ̟,advanced unrounded close-mid central vowel,,advanced_unrounded_close-mid_central_vowel
advanced_unrounded_close_front_vowel,i̟,advanced unrounded close front vowel,,advanced_unrounded_close_front_vowel
advanced_unrounded_open_back_vowel,ɑ̟,advanced unrounded open back vowel,,advanced_unrounded_open_back_vowel
advanced_unrounded_open_front_vowel,a̟,advanced unrounded open front vowel,,advanced_unrounded_open_front_vowel
advanced_voiced_alveolar_sibilant_fricative_consonant,z̟,advanced voiced alveolar sibilant fricative consonant,,advanced_voiced_alveolar_sibilant_fricative_consonant
advanced_voiced_velar_nasal_consonant,ŋ̟,advanced voiced velar nasal consonant,,advanced_voiced_velar_nasal_consonant
advanced_voiced_velar_stop_consonant,g̟,advanced voiced velar stop consonant,,advanced_voiced_velar_stop_consonant
advanced_voiceless_velar_stop_consonant,k̟,advanced voiceless velar stop consonant,,advanced_voiceless_velar_stop_consonant
aspirated_devoiced_voiced_alveolar_lateral_approximant_consonant,l̥ʰ,aspirated devoiced voiced alveolar lateral approximant consonant,,aspirated_devoiced_voiced_alveolar_lateral_approximant_consonant
aspirated_devoiced_voiced_alveolar_lateral_nasal-click_consonant,ŋǁ̥ʰ,aspirated devoiced voiced alveolar lateral nasal-click consonant,,aspirated_devoiced_voiced_alveolar_lateral_nasal-click_consonant
aspirated_devoiced_voiced_alveolar_nasal-click_consonant,ŋǃ̥ʰ,aspirated devoiced voiced alveolar nasal-click consonant,,aspirated_devoiced_voiced_alveolar_nasal-click_consonant
aspirated_devoiced_voiced_alveolar_trill_consonant,r̥ʰ,aspirated devoiced voiced alveolar trill consonant,,aspirated_devoiced_voiced_alveolar_trill_consonant
aspirated_devoiced_voiced_velar_stop_consonant,g̥ʰ,aspirated devoiced voiced velar stop consonant,,aspirated_devoiced_voiced_velar_stop_consonant
aspirated_devoiced_voiceless_velar_stop_consonant,k̥ʰ,aspirated devoiced voiceless velar stop consonant,,aspirated_devoiced_voiceless_velar_stop_consonant
aspirated_long_voiced_alveolar_sibilant_fricative_consonant,zʰː,aspirated long voiced alveolar sibilant fricative consonant,,aspirated_long_voiced_alveolar_sibilant_fricative_consonant
aspirated_long_voiced_alveolar_stop_consonant,dʰː,aspirated long voiced alveolar stop consonant,,aspirated_long_voiced_alveolar_stop_consonant
aspirated_long_voiced_alveolar_trill_consonant,rʰː,aspirated long voiced alveolar trill consonant,,aspirated_long_voiced_alveolar_trill_consonant
aspirated_long_voiced_bilabial_nasal_consonant,mʰː,aspirated long voiced bilabial nasal consonant,,aspirated_long_voiced_bilabial_nasal_consonant
aspirated_long_voiced_retroflex_stop_consonant,ɖʰː,aspirated long voiced retroflex stop consonant,,aspirated_long_voiced_retroflex_stop_consonant
aspirated_long_voiced_velar_stop_consonant,gʰː,aspirated long voiced velar stop consonant,,aspirated_long_voiced_velar_stop_consonant
aspirated_long_voiceless_alveolar_sibilant_affricate_consonant,tsʰː,aspirated long voiceless alveolar sibilant affricate consonant,,aspirated_long_voiceless_alveolar_sibilant_affricate_consonant
aspirated_long_voiceless_alveolar_sibilant_fricative_consonant,sʰː,aspirated long voiceless alveolar sibilant fricative consonant,,aspirated_long_voiceless_alveolar_sibilant_fricative_consonant
aspirated_long_voiceless_alveolar_stop_consonant,tʰː,aspirated long voiceless alveolar stop consonant,,aspirated_long_voiceless_alveolar_stop_consonant
aspirated_long_voiceless_bilabial_stop_consonant,pʰː,aspirated long voiceless bilabial stop consonant,,aspirated_long_voiceless_bilabial_stop_consonant
aspirated_long_voiceless_dental_stop_consonant,t̪ʰː,aspirated long voiceless dental stop consonant,,aspirated_long_voiceless_dental_stop_consonant
aspirated_long_voiceless_palatal_stop_consonant,cʰː,aspirated long voiceless palatal stop consonant,,aspirated_long_voiceless_palatal_stop_consonant
