cldf_glottocode	dataset
morm1235	abvdoceanic
motu1246	abvdoceanic
amba1265	abvdoceanic
amba1265	abvdoceanic
biak1248	abvdoceanic
sobe1238	abvdoceanic
tarp1240	abvdoceanic
waro1242	abvdoceanic
wand1267	abvdoceanic
irar1238	abvdoceanic
hula1239	abvdoceanic
mail1248	blustaustronesian
abun1252	johanssonsoundsymbolic
ambu1247	johanssonsoundsymbolic
awtu1239	johanssonsoundsymbolic
bamu1257	johanssonsoundsymbolic
baru1267	johanssonsoundsymbolic
beri1254	johanssonsoundsymbolic
dadi1250	johanssonsoundsymbolic
daga1275	johanssonsoundsymbolic
dera1245	johanssonsoundsymbolic
doro1266	johanssonsoundsymbolic
fasu1242	johanssonsoundsymbolic
fasu1242	johanssonsoundsymbolic
gras1249	johanssonsoundsymbolic
guhu1244	johanssonsoundsymbolic
hata1243	johanssonsoundsymbolic
hata1243	johanssonsoundsymbolic
kalu1248	johanssonsoundsymbolic
kamu1260	johanssonsoundsymbolic
kara1499	johanssonsoundsymbolic
kuot1243	johanssonsoundsymbolic
lavu1241	johanssonsoundsymbolic
mail1248	johanssonsoundsymbolic
nucl1594	johanssonsoundsymbolic
mali1284	johanssonsoundsymbolic
nucl1622	johanssonsoundsymbolic
maib1239	johanssonsoundsymbolic
maib1239	johanssonsoundsymbolic
mosk1236	johanssonsoundsymbolic
mosk1236	johanssonsoundsymbolic
nucl1633	johanssonsoundsymbolic
odoo1238	johanssonsoundsymbolic
odoo1238	johanssonsoundsymbolic
rumu1243	johanssonsoundsymbolic
sahu1245	johanssonsoundsymbolic
savo1255	johanssonsoundsymbolic
nucl1632	johanssonsoundsymbolic
suab1238	johanssonsoundsymbolic
teiw1235	johanssonsoundsymbolic
toar1246	johanssonsoundsymbolic
ware1253	johanssonsoundsymbolic
wari1266	johanssonsoundsymbolic
nucl1454	johanssonsoundsymbolic
yima1243	johanssonsoundsymbolic
boro1279	mcelhanonhuon
buru1306	mcelhanonhuon
buru1306	mcelhanonhuon
dedu1240	mcelhanonhuon
kate1253	mcelhanonhuon
komb1273	mcelhanonhuon
kube1244	mcelhanonhuon
mape1249	mcelhanonhuon
mese1244	mcelhanonhuon
buru1306	mcelhanonhuon
buru1306	mcelhanonhuon
naba1256	mcelhanonhuon
onoo1246	mcelhanonhuon
sele1250	mcelhanonhuon
timb1251	mcelhanonhuon
tobo1251	mcelhanonhuon
teiw1235	robinsonap
abui1241	robinsonap
blag1240	robinsonap
blag1240	robinsonap
blag1240	robinsonap
kama1365	robinsonap
wers1238	robinsonap
nede1245	robinsonap
kelo1247	robinsonap
lavu1241	tryonsolomon
touo1238	tryonsolomon
touo1238	tryonsolomon
bilu1245	tryonsolomon
savo1255	tryonsolomon
kara1499	visserkalamang
amai1246	zgraggenmadang
amel1241	zgraggenmadang
anam1247	zgraggenmadang
anam1248	zgraggenmadang
anja1238	zgraggenmadang
apal1256	zgraggenmadang
araw1272	zgraggenmadang
asas1240	zgraggenmadang
atem1241	zgraggenmadang
bagu1252	zgraggenmadang
baim1245	zgraggenmadang
barg1252	zgraggenmadang
bauu1244	zgraggenmadang
bepo1240	zgraggenmadang
bila1257	zgraggenmadang
biyo1244	zgraggenmadang
bong1291	zgraggenmadang
brem1238	zgraggenmadang
brem1238	zgraggenmadang
dana1254	zgraggenmadang
fait1240	zgraggenmadang
fait1240	zgraggenmadang
gall1278	zgraggenmadang
gang1270	zgraggenmadang
garu1246	zgraggenmadang
dimi1244	zgraggenmadang
gira1247	zgraggenmadang
guma1255	zgraggenmadang
isab1240	zgraggenmadang
iseb1246	zgraggenmadang
jili1241	zgraggenmadang
kare1341	zgraggenmadang
kein1239	zgraggenmadang
kesa1244	zgraggenmadang
kobo1248	zgraggenmadang
kora1296	zgraggenmadang
kowa1245	zgraggenmadang
lemi1243	zgraggenmadang
mala1494	zgraggenmadang
mala1495	zgraggenmadang
male1291	zgraggenmadang
mate1260	zgraggenmadang
mauw1238	zgraggenmadang
mawa1266	zgraggenmadang
mawa1267	zgraggenmadang
mian1254	zgraggenmadang
kolo1267	zgraggenmadang
moer1240	zgraggenmadang
more1258	zgraggenmadang
mosi1248	zgraggenmadang
mumm1238	zgraggenmadang
muni1257	zgraggenmadang
muru1273	zgraggenmadang
musa1266	zgraggenmadang
musa1266	zgraggenmadang
musa1265	zgraggenmadang
nake1240	zgraggenmadang
nend1239	zgraggenmadang
nobo1238	zgraggenmadang
ogea1238	zgraggenmadang
pall1244	zgraggenmadang
pamo1253	zgraggenmadang
pani1258	zgraggenmadang
para1307	zgraggenmadang
payn1244	zgraggenmadang
payn1244	zgraggenmadang
pula1267	zgraggenmadang
rapt1240	zgraggenmadang
remp1241	zgraggenmadang
rera1240	zgraggenmadang
saep1240	zgraggenmadang
samm1244	zgraggenmadang
samo1306	zgraggenmadang
saru1243	zgraggenmadang
saus1246	zgraggenmadang
siha1245	zgraggenmadang
sile1255	zgraggenmadang
silo1240	zgraggenmadang
sins1241	zgraggenmadang
siro1249	zgraggenmadang
sopp1247	zgraggenmadang
suma1270	zgraggenmadang
tauy1241	zgraggenmadang
ukur1240	zgraggenmadang
urig1240	zgraggenmadang
usan1239	zgraggenmadang
utar1238	zgraggenmadang
utuu1240	zgraggenmadang
uyaa1238	zgraggenmadang
dudu1240	zgraggenmadang
wada1263	zgraggenmadang
wagi1249	zgraggenmadang
wama1247	zgraggenmadang
wana1269	zgraggenmadang
wask1241	zgraggenmadang
dump1243	zgraggenmadang
kwat1244	zgraggenmadang
yabe1255	zgraggenmadang
yabo1240	zgraggenmadang
yang1298	zgraggenmadang
yara1250	zgraggenmadang
yoid1240	zgraggenmadang
