ID,Organization,Dataset,Zenodo,EDICTOR,Todo,ClicsCore,LexiCore,CogCore,ProtoCore,Other,CLTS,CLTSVersion,CLDFBench,Conceptlist,CheckPhonotactics,CheckedAuthors,License,Version,Warnings,CheckedBy,DoubleCheckBy
aaleykusunda,lexibank,aaleykusunda,10.5281/zenodo.5115947,,,x,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v4.0,-,Mattis,Christoph
abrahammonpa,lexibank,abrahammonpa,10.5281/zenodo.5115885,,,,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v3.0,-,Mattis,Johannes
allenbai,lexibank,allenbai,10.5281/zenodo.5115649,,,,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v2.0,-,Mattis,Johannes
backstromnorthernpakistan,lexibank,backstromnorthernpakistan,10.5281/zenodo.5116054,,,x,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v4.0,,Mattis,Johannes
bantubvd,lexibank,bantubvd,10.5281/zenodo.5115982,,,,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
bdpa,lexibank,bdpa,10.5281/zenodo.5116087,,,,x,x,,,100,2.1.0,x,,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
beidasinitic,lexibank,beidasinitic,10.5281/zenodo.5119295,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v2.0,-,Mattis,Johannes
birchallchapacuran,lexibank,birchallchapacuran,10.5281/zenodo.5119306,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v2.0,-,Mattis,Johannes
blustaustronesian,sequencecomparison,blustaustronesian,10.5281/zenodo.5137392,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Christoph,"Mattis, Johannes"
bodtkhobwa,lexibank,bodtkhobwa,10.5281/zenodo.5119330,x,,x,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v3.0,-,Mattis,Johannes
bowernpny,lexibank,bowernpny,10.5281/zenodo.5119341,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v2.0,-,Mattis,Johannes
bremerberta,lexibank,bremerberta,10.5281/zenodo.5126757,x,,x,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v5.0.1,-,Mattis,Christoph
cals,lexibank,cals,10.5281/zenodo.5121189,,,,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0.1,-,Mattis,Christoph
carvalhopurus,lexibank,carvalhopurus,10.5281/zenodo.5121195,,,x,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v3.0.1,-,Mattis,Christoph
castrosui,lexibank,castrosui,10.5281/zenodo.5121213,,,x,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v4.0.1,dups in ortho profile,Mattis,Christoph
castroyi,lexibank,castroyi,10.5281/zenodo.5121214,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0.1,-,Mattis,Christoph
castrozhuang,lexibank,castrozhuang,10.5281/zenodo.5121215,,,,x,x,x,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0.1,-,Mattis,Christoph
chaconarawakan,lexibank,chaconarawakan,10.5281/zenodo.5118556,,,x,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v3.0.1,-,Mattis,Christoph
chaconbaniwa,lexibank,chaconbaniwa,10.5281/zenodo.5118605,,,x,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0.1,-,Mattis,Christoph
chaconcolumbian,lexibank,chaconcolumbian,10.5281/zenodo.5118763,,,x,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0.1,-,Mattis,Christoph
chacontukanoan,lexibank,chacontukanoan,10.5281/zenodo.5118723,,,x,x,,,,100,,x,x,x,x,CC-BY-4.0,v4.0.1,-,Mattis,Christoph
chenhmongmien,lexibank,chenhmongmien,10.5281/zenodo.5118744,,,x,x,,,,100,,x,x,x,x,CC-BY-4.0,v4.0.1,-,Christoph,Christoph
chindialectsurvey,lexibank,chindialectsurvey,10.5281/zenodo.5121280,,,x,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v4.0,,Christoph,Christoph
chingelong,digling,chingelong,10.5281/zenodo.5121324,,,x,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
clarkkimmun,lexibank,clarkkimmun,10.5281/zenodo.5121482,,,x,x, , ,,100,2.1.0,x,x,x,x,CC-BY-4.0,v3.0,-,Mattis,Christoph
clics1,clics,clics1-cldf,10.5281/zenodo.5121530,,,,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,,Johannes
constenlachibchan,lexibank,constenlachibchan,10.5281/zenodo.5121347,,,x,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v3.0,-,Mattis,Christoph
davletshinaztecan,lexibank,davletshinaztecan,10.5281/zenodo.5121382,,,x,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v4.0,-,Mattis,Christoph
deepadungpalaung,lexibank,deepadungpalaung,10.5281/zenodo.5121402,x,, ,x,x,,,100,2.1.0,x,,,,CC-BY-4.0,v1.0,,Mattis,Johannes
diacl,lexibank,diacl,10.5281/zenodo.5121561,,,x,x,x,x,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
dravlex,lexibank,dravlex,10.5281/zenodo.5121580,x,,x,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
dunnaslian,lexibank,dunnaslian,10.5281/zenodo.5121613,,, ,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v2.0,-,Mattis,Christoph
dunnielex,sequencecomparison,dunnielex,10.5281/zenodo.5121651,,check for sounds and profile,,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
duonglachi,lexibank,duonglachi,10.5281/zenodo.5121663,,,x,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v4.0,-,Mattis,Christoph
felekesemitic,lexibank,felekesemitic,10.5281/zenodo.5126691,,refine mapping for bookkeeping glottolog languages,x,,,,,,2.1.0,x,x,,x,CC-BY-4.0,v2.0,bookkeeping glottolog languages,Mattis,Johannes
galuciotupi,lexibank,galuciotupi,10.5281/zenodo.5121724,,,x,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v4.0,-,Mattis,Christoph
gaotb,digling,gaotb,10.5281/zenodo.5121776,,,x,x,,,,100,,x,x,x,x,CC-BY-4.0,v3.0,-,Mattis,Christoph
gerarditupi,lexibank,gerarditupi,10.5281/zenodo.5127906,,,x,,,,,,2.1.0,x,x,,,CC-BY-4.0,v3.0,-,Mattis,Johannes
halenepal,lexibank,halenepal,10.5281/zenodo.5121540,,, ,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
hantganbangime,lexibank,hantganbangime,10.5281/zenodo.5126441,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
hattorijaponic,sequencecomparison,hattorijaponic,10.5281/zenodo.5126845,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
houchinese,sequencecomparison,houchinese,10.5281/zenodo.5126858,,,,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
hsiuhmongmien,lexibank,hsiuhmongmien,10.5281/zenodo.5126451,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
hubercolumbian,lexibank,hubercolumbian,10.5281/zenodo.5121219,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
huntergatherer,lexibank,huntergatherer,10.5281/zenodo.5126741,,,x,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v3.0,-,Mattis,Christoph
