ID,Organization,Dataset,Zenodo,EDICTOR,Todo,ClicsCore,LexiCore,CogCore,ProtoCore,Other,CLTS,CLTSVersion,CLDFBench,Conceptlist,CheckPhonotactics,CheckedAuthors,License,Version,Warnings,CheckedBy,DoubleCheckBy
ids,intercontinental-dictionary-series,ids,10.5281/zenodo.5126899,,,x,,,,,,,x,x,,x,CC-BY-4.0,v4.0,-,Mattis,Christoph
ivanisuansu,lexibank,ivanisuansu,10.5281/zenodo.5126966,,,x,x,x,x,,100,2.1.0,x,x,x,x,CC-BY-4.0,v3.0,-,Christoph,"Mattis, Christoph"
johanssonsoundsymbolic,lexibank,johanssonsoundsymbolic,10.5281/zenodo.5127131,,,x,x,,,,100,,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Christoph
joophonosemantic,lexibank,joophonosemantic,10.5281/zenodo.5137230,,check for sounds (profile okay but not complete,x,x,,,,100,,x,x,x,x,CC-BY-4.0,,-,Mattis,Christoph
kesslersignificance,sequencecomparison,kesslersignificance,10.5281/zenodo.5127775,,,x,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v3.0,-,Mattis,Christoph
kleinewillinghoeferbikwinjen,lexibank,kleinewillinghoeferbikwinjen,10.5281/zenodo.5127404,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
kraftchadic,lexibank,kraftchadic,10.5281/zenodo.5121222,,,x,,,,,,,x,x,,x,CC-BY-4.0,v1.0,-,Christoph,Christoph
leeainu,lexibank,leeainu,10.5281/zenodo.5126890,,,,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Christoph
leejaponic,lexibank,leejaponic,10.5281/zenodo.5126801,,, ,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Christoph
leekoreanic,lexibank,leekoreanic,10.5281/zenodo.5126904,,, ,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
lieberherrkhobwa,lexibank,lieberherrkhobwa,10.5281/zenodo.5127687,,, ,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
lindseyende,intercontinental-dictionary-series,lindseyende,10.5281/zenodo.5127829,,,,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Christoph
listsamplesize,sequencecomparison,listsamplesize,10.5281/zenodo.5128050,,some errors should be checked (see code warnings),x,,,,,,,x,x,,x,CC-BY-4.0,v4.1,some mismatchd forms,Mattis,Johannes
liusinitic,lexibank,liusinitic,10.5281/zenodo.5131413,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Christoph
logos,lexibank,logos,10.5281/zenodo.5141379,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Christoph
lundgrenomagoa,lexibank,lundgrenomagoa,10.5281/zenodo.5128097,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Christoph,"Mattis, Christoph"
mannburmish,lexibank,mannburmish,10.5281/zenodo.5131419,,,,x,,,,100,,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
marrisonnaga,lexibank,marrisonnaga,10.5281/zenodo.5121317,,,x,x,,,,100,,x,x,x,x,CC-BY-4.0,,-,Mattis,Johannes
mcelhanonhuon,lexibank,mcelhanonhuon,10.5281/zenodo.5127348,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Christoph
mitterhoferbena,lexibank,mitterhoferbena,10.5281/zenodo.5121327,,,,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
naganorgyalrongic,lexibank,naganorgyalrongic,10.5281/zenodo.5126458,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Christoph
nagarajakhasian,lexibank,nagarajakhasian,10.5281/zenodo.5131421,,, ,x,x,,,100,,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,"Christoph, Johannes"
northeuralex,lexibank,northeuralex,10.5281/zenodo.5121268,,, ,x,x,,,100,,x,x,x,x,CC-BY-4.0,,-,Mattis,Johannes
peirosaustroasiatic,lexibank,peirosaustroasiatic,10.5281/zenodo.5127536,,,x,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v2.0,-,Mattis,Johannes
pharaocoracholaztecan,lexibank,pharaocoracholaztecan,10.5281/zenodo.5136882,,,x,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v2.0,-,Mattis,Johannes
polyglottaafricana,lexibank,polyglottaafricana,10.5281/zenodo.5136890,,,x,x,x,,,100,,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
ratcliffearabic,lexibank,ratcliffearabic,10.5281/zenodo.5136898,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
robinsonap,lexibank,robinsonap,10.5281/zenodo.5121340,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Christoph
saenkoromance,lexibank,saenkoromance,10.5281/zenodo.5136900,,,x,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Christoph
sagartst,lexibank,sagartst,10.5281/zenodo.5121409,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Christoph
satterthwaitetb,lexibank,satterthwaitetb,10.5281/zenodo.5136997,,,,x,x,x,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Christoph,"Mattis, Christoph"
savelyevturkic,lexibank,savelyevturkic,10.5281/zenodo.5137274,,,x,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Christoph
servamalagasy,digling,servamalagasy,10.5281/zenodo.5137040,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0.1,-,Mattis,Christoph
sidwellbahnaric,lexibank,sidwellbahnaric,10.5281/zenodo.5137055,,, ,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Christoph
simsrma,lexibank,simsrma,10.5281/zenodo.5166593,,,,,,,x,,,x,x,,x,CC-BY-4.0,v1.0,,Christoph,Christoph
sohartmannchin,lexibank,sohartmannchin,10.5281/zenodo.5121813,,,,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Christoph
starostinpie,sequencecomparison,starostinpie,10.5281/zenodo.5137281,,,x,,,,,,,x,x,,x,CC-BY-4.0,v4.0,,,Johannes
suntb,lexibank,suntb,10.5281/zenodo.5121515,,,,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
syrjaenenuralic,lexibank,syrjaenenuralic,10.5281/zenodo.5137236,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
tls,lexibank,tls,10.5281/zenodo.5121819,,, ,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.1,,Mattis,Johannes
transnewguineaorg,lexibank,transnewguineaorg,10.5281/zenodo.5141620,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
utoaztecan,lexibank,utoaztecan,10.5281/zenodo.5173799,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v2.0,-,Christoph,Johannes
visserkalamang,intercontinental-dictionary-series,visserkalamang,10.5281/zenodo.5139559,,,x,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Johannes
walworthpolynesian,lexibank,walworthpolynesian,10.5281/zenodo.5126932,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Christoph
wangbai,lexibank,wangbai,10.5281/zenodo.5137407,,,x,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Christoph
wangbcd,lexibank,wangbcd,10.5281/zenodo.5136930,,,,,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Christoph
wichmannmixezoquean,lexibank,wichmannmixezoquean,10.5281/zenodo.5126948,,,x,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v2.0,-,Mattis,Johannes
wold,lexibank,wold,10.5281/zenodo.5139859,,,x,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v4.0,,Christoph,Christoph
yanglalo,lexibank,yanglalo,10.5281/zenodo.5121829,,,x,x,,,,100,,x,x,x,x,CC-BY-4.0,v2.0,-,Mattis,Christoph
yangyi,lexibank,yangyi,10.5281/zenodo.5167277,x,concepticon 2.6,x,x,(x),(x),,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.0,-,Mattis,Christoph
yuchinese,intercontinental-dictionary-series,yuchinese,10.5281/zenodo.5139881,,,x,,,,,,,x,x,,x,CC-BY-4.0,v4.0,-,Mattis,Johannes
zgraggenmadang,lexibank,zgraggenmadang,10.5281/zenodo.5121535,,,x,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v3.0,-,Mattis,"Mattis, Johannes"
zhaobai,lexibank,zhaobai,10.5281/zenodo.5136947,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.1,-,Mattis,Johannes
zhivlovobugrian,sequencecomparison,zhivlovobugrian,10.5281/zenodo.5137439,,check for one language as outlier (in vowels),x,x,,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.1,-,Mattis,Christoph
zhoubizic,lexibank,zhoubizic,10.5281/zenodo.5140129,,,x,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v1.1,-,Mattis,
asjp,lexibank,asjp,,,profile needs fixes,,,,,x,,2.1.0,x,x,x,x,CC-BY-4.0,,,Christoph,
bowerntasmanian,lexibank,bowerntasmanian,,,,,,,,x,,,x,x,,,CC-BY-4.0,,-,Christoph,
dyenindoeuropean,lexibank,dyenindoeuropean,,,,,,,,x,,,x,x,,x,CC-BY-4.0,,-,Christoph,
hillburmish,lexibank,hillburmish,,,pending,,,,,,,,,,,,,,,,
starostinhmongmien,lexibank,starostinhmongmien,,,"check profile, compare with other HM data",,,,,,,2.1.0,,,,,CC-BY-4.0,,-,Christoph,
tppsr,lexibank,tppsr,,,,,,,,x,100,2.1.0,x,x,x,x,CC-BY-4.0,,-,Mattis,
tuled,tupian-language-resources,tuled,,x,concepticon 2.5,x,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,,-,Mattis,
wanghmongmien,lexibank,wanghmongmien,,,,,,,,x,100,2.1.0,x,x,x,x,CC-BY-4.0,,-,Mattis,
abvdoceanic,lexibank,abvdoceanic,10.5281/zenodo.5206553,,,,x,x,,,100,2.1.0,x,x,x,x,CC-BY-4.0,v0.2,-,Mattis,
