Organization	Dataset	Zenodo	EDICTOR	Todo	ClicsCore	LexiCore	CogCore	ProtoCore	Other	CLTS	CLTSVersion	CLDFBench	Conceptlist	CheckPhonotactics	CheckedAuthors	License	Version	Warnings	CheckedBy	DoubleCheckBy
lexibank	wangbai				x	x				100	2.1.0	x	x	x	x	CC-BY-4.0		-	Mattis	
lexibank	wangbcd								x			x	x		x	CC-BY-4.0			Christoph	
lexibank	wanghmongmien								x	100	2.1.0	x	x	x	x	CC-BY-4.0		-	Mattis	
lexibank	wichmannmixezoquean					x	x			100	2.1.0	x	x	x	x	CC-BY-4.0		-	Christoph	Mattis
lexibank	wold				x	x				100	2.1.0	x	x	x	x	CC-BY-4.0			Christoph	
lexibank	yanglalo				x	x	x	x		100	2.1.0	x	x	x	x	CC-BY-4.0		-	Christoph	Mattis
lexibank	yangyi			check for one language as outlier (in vowels)	x	x				100	2.1.0	x	x	x	x	CC-BY-4.0		-	Mattis	
intercontinental-dictionary-series	yuchinese				x	x				100		x	x	x	x	CC-BY-4.0		-	Mattis	
lexibank	zgraggenmadang				x	x				100	2.1.0	x	x	x	x	CC-BY-4.0		-	Mattis	
lexibank	zhaobai					x				100	2.1.0	x	x	x	x	CC-BY-4.0		-	Mattis	
sequencecomparison	zhivlovobugrian				x	x	x			100	2.1.0	x	x	x	x	CC-BY-4.0		-	Mattis	
lexibank	zhoubizic		x	concepticon 2.6	x	x	(x)	(x)		100	2.1.0	x	x	x	x	CC-BY-4.0		-	Mattis	
lexibank	logos				x							x	x		x	CC-BY-4.0		-	Mattis	
