Hawaiian	idssegmented-hawaiian	hawa1245	Austronesian	19.6297	-155.43	17
Rapa Nui	idssegmented-rapanui	rapa1244	Austronesian	-27.113	-109.342	14
Itonama	keypano-Itonama	iton1250		-12.80431	-64.35748	13
Ocaina	hubercolumbian-Ocaina	ocai1244	Huitotoan	-2.159	-72.1422	11
Tongan	idssegmented-tongan	tong1325	Austronesian	-21.17	-175.25	11
Marquesan	abvdoceanic-Marquesan_38	nort2845	Austronesian	-8.89412	-140.108	10
Marquesan	idssegmented-marquesan	sout2866	Austronesian	-9.75663	-138.979	10
Oneida	johanssonsoundsymbolic-Oneida	onei1249	Iroquoian	43.438742	-75.708106	10
Tuamotuan	idssegmented-tuamotuan	tuam1242	Austronesian	-16.17259	-146.321755	10
Ahlao (Thavung)	idssegmented-ahlaothavung	aheu1239	Austroasiatic	17.7655	104.229	9
Even	oskolskayatungusic-Even	even1260	Tungusic	70.6687	130.914	9
Humene	transnewguineaorg-humene	hume1246	Kwalean	-9.70693	147.562	9
Kapingamarangi	abvdoceanic-Kapingamarangi_217	kapi1249	Austronesian	1.039166	154.797223	9
Manihiki	abvdoceanic-Manihiki_589	raka1237	Austronesian	-10.03	-161.09	9
Maori	idssegmented-maori	maor1246	Austronesian	-38.2881	176.541	9
Nukeria	walworthpolynesian-Nukeria	nuku1259	Austronesian	-3.40038	154.731	9
Oroha	tryonsolomon-oroha	oroh1237	Austronesian	-9.7386	161.513	9
Rarotongan	abvdoceanic-Rarotongan_58	raro1241	Austronesian	-21.23	-159.78	9
Resígaro	hubercolumbian-Resigaro	resi1247	Arawakan	-2.48139	-71.3578	9
Sa'a (2)	tryonsolomon-saa2	saaa1240	Austronesian	-9.60258	161.467	9
Sanapaná (Angaité dialect)	idssegmented-sanapanaangaitedialect	anga1316	Lengua-Mascoy	-22.85	-58.45	9
Penrhyn	walworthpolynesian-Penrhyn	penr1237	Austronesian	-9.082238	-157.922908	8
Rennell	tryonsolomon-rennell	renn1242	Austronesian	-11.6237	160.265	8
Reo Tahiti	walworthpolynesian-Tahitian	tahi1242	Austronesian	-17.6485	-149.45	8
Tanimuca	hubercolumbian-Tanimuca	tani1257	Tucanoan	-0.59023	-70.3853	8
Washo	huntergatherer-27	wash1253		38.8184	-119.64	8
Achumawi	johanssonsoundsymbolic-Achumawi	achu1247	Palaihnihan	41.0979	-121.191	7
Anuta	tryonsolomon-anuta	anut1237	Austronesian	-11.61	169.85	7
Awa	transnewguineaorg-awa	awap1236	Nuclear Trans New Guinea	-6.65534	145.714	7
Bauzi	transnewguineaorg-bauzi	bauz1241	Geelvink Bay	-2.44717	137.629	7
Embera	idssegmented-embera	nort2972	Chocoan	7.12761	-77.574	7
Futuna-Aniwa	abvdoceanic-FutunaAniwa_156	futu1245	Austronesian	-19.5303	170.215	7
Gagana Sāmoa	walworthpolynesian-Samoan	samo1305	Austronesian	-13.92	-171.83	7
Kaingáng	idssegmented-kaingang	kain1272	Nuclear-Macro-Je	-27.7671	-52.5394	7
Mekeo	abvdoceanic-Mekeo_89	meke1243	Austronesian	-8.23853	146.586	7
Niue	abvdoceanic-Niue_247	niue1239	Austronesian	-19.06	-169.86	7
Oirata	transnewguineaorg-oirata	oira1263	Timor-Alor-Pantar	-8.09044	127.201	7
Ontong Java	tryonsolomon-ontongjava	onto1237	Austronesian	-5.49029	159.701	7
Paicî	abvdoceanic-Paici_1479	paic1239	Austronesian	-21.096	165.15	7
Southern Pomo	johanssonsoundsymbolic-SouthernPomo	sout2984	Pomoan	38.7643	-122.545	7
Uare	transnewguineaorg-uare	uare1241	Kwalean	-9.69571	147.687	7
Uvea, East	abvdoceanic-UveaEast_258	wall1257	Austronesian	-13.2903	-176.207	7
Waimaja	hubercolumbian-Waimaja	waim1255	Tucanoan	0.30416	-70.1644	7
White Hmong	wold-WhiteHmong	hmon1333	Hmong-Mien	26.0	105.0	7
Xicotepec de Juárez Totonac	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235	Totonacan	20.6532	-97.7463	7
'Are'are (2)	tryonsolomon-areare2	area1240	Austronesian	-9.20699	161.158	6
Ambae, East (Wailengi)	abvdoceanic-AmbaeEastWailengi_1116	east2443	Austronesian	-15.3523	167.89	6
Ambrym, North (Fonah)	abvdoceanic-AmbrymNorthFonah_1131	nort2839	Austronesian	-16.1741	168.14	6
Antekerrepenhe	bowernpny-Antekerrepenhe	ande1247	Pama-Nyungan	-22.51278	137.3515	6
Arosi (2)	tryonsolomon-arosi2	aros1241	Austronesian	-10.2441	161.432	6
Asurini	gerarditupi-Asurini	toca1235	Tupian	-3.59359	-49.8991	6
Balangaw	abvdphilippines-411	bala1310	Austronesian	17.0994	121.272	6
Bepour	transnewguineaorg-bepour	bepo1240	Nuclear Trans New Guinea	-4.5985	145.442	6
Binukid	abvdphilippines-415	binu1244	Austronesian	8.15933	124.892	6
Cayapa	idssegmented-cayapa	chac1249	Barbacoan	0.71489	-79.0508	6
Chácobo	keypano-Chacobo	chac1251	Pano-Tacanan	-12.133	-66.7164	6
Fuyug	transnewguineaorg-fuyug	fuyu1242		-8.6371	147.312	6
Girawa	transnewguineaorg-girawa	gira1247	Nuclear Trans New Guinea	-5.35342	145.423	6
Mafea	abvdoceanic-Mafea_1125	mafe1237	Austronesian	-15.4316	167.241	6
Mangareva	abvdoceanic-Mangareva_239	mang1401	Austronesian	-23.1095	-134.97	6
Maria (Maranomu Dialect)	transnewguineaorg-maria-maranomu	mari1438	Manubaran	-9.92982	148.303	6
Mbaniata	tryonsolomon-mbaniata	touo1238		-8.58405	157.296	6
Meramera	abvdoceanic-Meramera_1205	mera1242	Austronesian	-4.97468	151.528	6
Mor	abvdoceanic-Mor_24	morm1235	Austronesian	-2.87055	135.95	6
Nukuoro	abvdoceanic-Nukuoro_64	nuku1260	Austronesian	3.84	154.975	6
Pirahã	johanssonsoundsymbolic-Piraha	pira1253		-6.77713	-61.8167	6
Pukapuka	abvdoceanic-Pukapuka_152	puka1242	Austronesian	-10.91	-165.83	6
Raga	abvdoceanic-Raga_113	hano1246	Austronesian	-15.5432	168.167	6
Rahung	bodtkhobwa-Rahung	rahu1234	Sino-Tibetan	27.310778	92.395028	6
Reo Ra'ivavae	walworthpolynesian-Raivavae	raiv1237	Austronesian	-23.86742	-147.6551	6
Roro	abvdoceanic-Roro_220	waim1251	Austronesian	-8.67145	146.544	6
Sihan	transnewguineaorg-sihan	siha1245	Nuclear Trans New Guinea	-5.28029	145.574	6
Sikaiana	tryonsolomon-sikaiana	sika1261	Austronesian	-8.378194	162.72952	6
Sissano (Arop dialect)	abvdoceanic-SissanoAropdialect_1394	siss1243	Austronesian	-3.01976	142.049	6
Takuu	abvdoceanic-Takuu_244	taku1257	Austronesian	-4.773094	157.032085	6
Tikopia	tryonsolomon-tikopia	tiko1237	Austronesian	-12.2766	168.822	6
Uvea, West	abvdoceanic-UveaWest_259	west2516	Austronesian	-20.4145	166.589	6
Warao	johanssonsoundsymbolic-Warao	wara1303		7.50851	-59.3528	6
uya	zgraggenmadang-uya	uyaa1238	Nuclear Trans New Guinea	-5.32246	145.47	6
(Akū) Ī́fẹ	polyglottaafricana-III-C-1-k	ifee1241	Atlantic-Congo	7.63568	1.58494	5
(Akū) Yórūba	polyglottaafricana-III-C-1-d	yoru1245	Atlantic-Congo	7.15345	3.67225	5
Abu' Arapesh	transnewguineaorg-abu-arapesh	abua1245	Nuclear Torricelli	-3.461612	142.917031	5
